season,date,selected_issue_time,target_time,hour,actual_ghi,q50_cal,q10_cal80,q90_cal80,q25_cal_interpolated,q75_cal_interpolated,rmse,mae
Summer,2025-07-06,2025-07-05 22:00:00,2025-07-06 16:00:00,16,158.33333333333334,302.3515663559739,0.0,675.4422127586943,179.2163944963878,480.6279707546777,135.56524016849792,101.4461480850113
Summer,2025-07-06,2025-07-05 22:00:00,2025-07-06 17:00:00,17,55.55555555555556,200.23745047792008,2.768932001416509,382.0208363811009,127.61600238894641,289.34247147139655,135.56524016849792,101.4461480850113
Summer,2025-07-06,2025-07-05 22:00:00,2025-07-06 18:00:00,18,27.77777777777778,70.3389585654415,19.546327326251866,89.46212406620559,54.46660114949441,78.71160420305934,135.56524016849792,101.4461480850113
Autumn,2025-09-14,2025-09-13 22:00:00,2025-09-14 06:00:00,6,5.555555555555555,3.9381840705956477,2.149970977807328,5.144980959059719,2.846225387664102,4.555753783840322,136.3115335599952,81.80372132262939
Autumn,2025-09-14,2025-09-13 22:00:00,2025-09-14 07:00:00,7,111.11111111111111,100.91485204734359,64.49311514130888,122.85673270759888,84.95720857979943,113.02662319211109,136.3115335599952,81.80372132262939
Autumn,2025-09-14,2025-09-13 22:00:00,2025-09-14 08:00:00,8,325.0,316.53481154004,222.7727415818047,354.0519635269721,273.75602481610173,324.60322773413003,136.3115335599952,81.80372132262939
Autumn,2025-09-14,2025-09-13 22:00:00,2025-09-14 09:00:00,9,552.7777777777778,521.2046292127791,342.10816835142646,560.5497438205132,438.8418779143043,556.4168049093676,136.3115335599952,81.80372132262939
Autumn,2025-09-14,2025-09-13 22:00:00,2025-09-14 10:00:00,10,711.1111111111111,681.0009508400918,473.2967084862889,741.3145658524381,561.7623340726185,725.0119677758644,136.3115335599952,81.80372132262939
Autumn,2025-09-14,2025-09-13 22:00:00,2025-09-14 11:00:00,11,875.0,749.2106551362286,503.3349194486975,866.8792053375493,614.533569535124,839.5851395901575,136.3115335599952,81.80372132262939
Autumn,2025-09-14,2025-09-13 22:00:00,2025-09-14 12:00:00,12,930.5555555555555,798.9965961924005,506.98812482433,907.545706310901,631.29145937403,888.4703899631882,136.3115335599952,81.80372132262939
Autumn,2025-09-14,2025-09-13 22:00:00,2025-09-14 13:00:00,13,336.1111111111111,748.267799507459,409.2511519252597,884.1078743834355,562.3806532225328,855.5215940018412,136.3115335599952,81.80372132262939
Autumn,2025-09-14,2025-09-13 22:00:00,2025-09-14 14:00:00,14,477.77777777777777,549.2229616803743,251.76675683820613,775.6871722685953,343.5089363600687,707.6166981982275,136.3115335599952,81.80372132262939
Autumn,2025-09-14,2025-09-13 22:00:00,2025-09-14 15:00:00,15,544.4444444444445,438.5118155325577,207.95721460714168,646.495064110652,260.9673702967249,565.3931400824335,136.3115335599952,81.80372132262939
Autumn,2025-09-14,2025-09-13 22:00:00,2025-09-14 16:00:00,16,322.22222222222223,286.75623366238597,141.2681692464375,417.0677104030316,191.5737738167967,378.0753975106467,136.3115335599952,81.80372132262939
Autumn,2025-09-14,2025-09-13 22:00:00,2025-09-14 17:00:00,17,100.0,117.33373402925342,61.93442091974508,145.43700907452293,80.6485619409628,149.44328723762231,136.3115335599952,81.80372132262939
