panel_group,method_name,date_label,date,issue_time,target_time,hour,realized_pv,q05,q10,q25,q40,q50,q60,q75,q90,q95,raw_scenario_id,scenario_id,scenario_probability,pv_s_kw
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 07:00:00,7,,,,,,,,,,,2.0,,,209.16961669921875
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 08:00:00,8,,,,,,,,,,,2.0,,,635.2297973632812
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 09:00:00,9,,,,,,,,,,,2.0,,,1154.5780029296875
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 10:00:00,10,,,,,,,,,,,2.0,,,1549.1455078125
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 11:00:00,11,,,,,,,,,,,2.0,,,1496.0693359375
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 12:00:00,12,,,,,,,,,,,2.0,,,981.5279541015625
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 13:00:00,13,,,,,,,,,,,2.0,,,1202.8365478515625
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 14:00:00,14,,,,,,,,,,,2.0,,,795.1996459960938
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 15:00:00,15,,,,,,,,,,,2.0,,,899.3577880859375
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 16:00:00,16,,,,,,,,,,,2.0,,,689.8897094726562
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 17:00:00,17,,,,,,,,,,,2.0,,,181.03585815429688
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 18:00:00,18,,,,,,,,,,,2.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 19:00:00,19,,,,,,,,,,,2.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 20:00:00,20,,,,,,,,,,,2.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 21:00:00,21,,,,,,,,,,,2.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 22:00:00,22,,,,,,,,,,,2.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 23:00:00,23,,,,,,,,,,,2.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 00:00:00,0,,,,,,,,,,,3.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 01:00:00,1,,,,,,,,,,,3.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 02:00:00,2,,,,,,,,,,,3.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 03:00:00,3,,,,,,,,,,,3.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 04:00:00,4,,,,,,,,,,,3.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 05:00:00,5,,,,,,,,,,,3.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 06:00:00,6,,,,,,,,,,,3.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 07:00:00,7,,,,,,,,,,,3.0,,,174.04518127441406
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 08:00:00,8,,,,,,,,,,,3.0,,,428.6051940917969
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 09:00:00,9,,,,,,,,,,,3.0,,,836.419921875
