season,representative_date,lead_label,issue_time,target_time,hour_of_day,horizon_h,observed_ghi,q50_cal_point_forecast
Autumn,2025-09-14,H1,2025-09-14 15:00:00,2025-09-14 16:00:00,16,1,322.22222222222223,275.1222620950429
Autumn,2025-09-14,H1,2025-09-14 16:00:00,2025-09-14 17:00:00,17,1,100.0,130.67760739239552
Autumn,2025-09-14,H24,2025-09-13 06:00:00,2025-09-14 06:00:00,6,24,5.555555555555555,3.729847898419971
Autumn,2025-09-14,H24,2025-09-13 07:00:00,2025-09-14 07:00:00,7,24,111.11111111111111,105.00781773054698
Autumn,2025-09-14,H24,2025-09-13 08:00:00,2025-09-14 08:00:00,8,24,325.0,323.3280415916493
Autumn,2025-09-14,H24,2025-09-13 09:00:00,2025-09-14 09:00:00,9,24,552.7777777777778,546.518191254536
Autumn,2025-09-14,H24,2025-09-13 10:00:00,2025-09-14 10:00:00,10,24,711.1111111111111,720.0774755721598
Autumn,2025-09-14,H24,2025-09-13 11:00:00,2025-09-14 11:00:00,11,24,875.0,790.0225594381494
Autumn,2025-09-14,H24,2025-09-13 12:00:00,2025-09-14 12:00:00,12,24,930.5555555555555,787.9507523033899
Autumn,2025-09-14,H24,2025-09-13 13:00:00,2025-09-14 13:00:00,13,24,336.1111111111111,670.9112758249547
Autumn,2025-09-14,H24,2025-09-13 14:00:00,2025-09-14 14:00:00,14,24,477.77777777777777,519.8272892355978
Autumn,2025-09-14,H24,2025-09-13 15:00:00,2025-09-14 15:00:00,15,24,544.4444444444445,389.7622531364227
Autumn,2025-09-14,H24,2025-09-13 16:00:00,2025-09-14 16:00:00,16,24,322.22222222222223,265.1233787268903
Autumn,2025-09-14,H24,2025-09-13 17:00:00,2025-09-14 17:00:00,17,24,100.0,123.19058642902843
