case,load_profile_name,month_id,TOU_m_ntd,OC_DCT_m_ntd,Deg_m_ntd,monthly_peak_kw,oc_hours,risk0_hours,shield_slack_positive_hours,first_step_charging_near_risk_hours
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,7,8.996310287804622,0.6136312757119999,0.14503955906223867,4331.440306666666,122,338,0,91
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,8,8.078493535057206,0.7655627173273173,0.13702264367032554,4557.933213069942,110,185,0,49
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,9,10.330972330231488,1.0359741258186668,0.13906347334819522,4961.050995555555,230,432,0,89
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,10,8.355939629687656,1.0271424578915893,0.1794819390052879,4947.8851220804845,185,183,0,44
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,11,5.603264877924656,0.5525981877591347,0.19256547503716592,4520.31626374902,95,22,0,6
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,12,4.92090169872606,0.12378040571755072,0.192413266871698,3663.8797108399253,43,0,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,1,3.4272653526952452,0.010237261759111145,0.21393301911509224,3337.118848888889,1,0,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,2,3.6741588077944236,0.2153187231286913,0.18729053184060487,3846.7003967019996,14,0,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,3,4.944971378016461,0.3031048493710805,0.19417086460328317,4022.0271916738175,58,0,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,4,5.278564999237863,0.5568802642860271,0.20826797517351148,4528.868443750803,97,0,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,5,7.760397188809001,1.0872833047786674,0.16734768535438296,5037.54052888889,140,1,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,6,8.976563462139053,0.7318699922060304,0.13330126101504147,4507.705536979771,139,9,2,0
