timestamp,case_name,month_id,D_mtd_before,D_guard_kw,D_cert_kw,risk0,first_step_netload_expected_kw,first_step_netload_max_kw,first_step_demand_expected,first_step_demand_max,p_ch_exec,p_dis_exec,p_grid_realized,D_mth_running,z_shield_expected,z_shield_max,E_soc_before,E_soc
2025-09-18 22:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,False,2957.0,2957.0,2974.742,2974.742,0.0,0.0,2957.0,4679.458182222222,0.0,0.0,752.5830000000001,752.5830000000001
2025-09-18 23:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,False,2737.0,2737.0,2753.422,2753.422,0.0,0.0,2737.0,4679.458182222222,0.0,0.0,752.5830000000001,752.5830000000001
2025-09-19 00:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,False,2577.0,2577.0,2592.462,2592.462,0.0,0.0,2577.0,4679.458182222222,0.0,0.0,752.5830000000001,752.5830000000001
2025-09-19 01:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,False,2408.9999999999995,2409.0,3943.2584399999996,3943.2584399999996,1510.7399999999998,0.0,3919.74,4679.458182222222,0.0,0.0,752.5830000000001,2187.786
2025-09-19 02:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,False,2262.0,2262.0,3795.376440000001,3795.376440000001,1510.740000000001,0.0,3772.7400000000007,4679.458182222222,0.0,0.0,2187.786,3622.989000000001
2025-09-19 03:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,False,2192.0,2192.0,3724.95644,3724.95644,1510.74,0.0,3702.74,4679.458182222222,0.0,0.0,3622.989000000001,5058.192000000001
2025-09-19 04:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,False,2194.0,2194.0,2231.1277542183648,2231.1277542183648,23.820829242907312,0.0,2217.820829242907,4679.458182222222,0.0,0.0,5058.192000000001,5080.821787780763
2025-09-19 05:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,False,2167.0,2167.0,2180.002,2180.002,0.0,0.0,2167.0,4679.458182222222,0.0,0.0,5080.821787780763,5080.821787780763
2025-09-19 06:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,False,2201.0,2201.0,2486.5907847290027,2486.5907847290027,270.76022338867057,0.0,2370.2513344997815,4679.458182222222,0.0,0.0,5080.821787780763,5338.044
2025-09-19 07:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,False,2496.566950042725,2502.686569213867,2591.438750756111,2597.5950876422808,79.41590359158096,0.0,2474.8314591471362,4679.458182222222,0.0,0.0,5338.044,5413.489108412002
2025-09-19 08:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,False,3076.2857915649415,3248.07080078125,4356.642462950615,4529.458182222222,1254.3727203143976,0.0,4318.539386981064,4679.458182222222,0.0,0.0,5413.489108412002,6605.14319271068
2025-09-19 09:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,False,3602.1641875610353,3708.3656311035156,3801.7902570369874,3908.628909240723,176.95137609402173,0.0,3396.1402649829106,4679.458182222222,0.0,0.0,6605.14319271068,6773.247
2025-09-19 10:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,False,3755.0635764160156,4216.529052734375,3777.593957874512,4241.828227050782,0.0,0.0,3461.9977777777776,4679.458182222222,0.0,0.0,6773.247,6773.247
2025-09-19 11:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,False,3877.406833740234,4246.7554931640625,3900.6712747426755,4272.236026123047,0.0,0.0,2987.753333333333,4679.458182222222,0.0,0.0,6773.247,6773.247
2025-09-19 12:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,True,3618.3473093261714,4545.383270263672,3596.8600055190955,4529.458182222221,0.0,42.93974916802472,2946.8824730541974,4679.458182222222,0.0,0.0,6773.247,6728.047264033658
2025-09-19 13:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,False,3510.9669608154295,4386.379821777344,3532.032762580322,4412.698100708008,0.0,0.0,3324.1755555555555,4679.458182222222,0.0,0.0,6728.047264033658,6728.047264033658
2025-09-19 14:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,False,3778.370374267578,4102.5401611328125,3801.0405965131836,4127.155402099609,0.0,0.0,3533.557777777778,4679.458182222222,0.0,0.0,6728.047264033658,6728.047264033658
2025-09-19 15:00:00,CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4679.458182222222,4679.458182222222,4529.458182222222,False,3570.4657272949216,4198.790832519531,3639.7526631135747,4271.847718969532,47.578669438254536,0.0,4667.416447216032,4695.420945899328,0.0,0.0,6728.047264033658,6773.247
