mode,load_profile_name,bridge_type,k,issue_time,scenario_id,raw_scenario_id,medoid_type,scenario_weight,daily_max_netload_kw,lowpv_shortfall_score_kwh,near_exceed_area_kwh,exceed_area_kwh,max_raw_netload_kw,max_reduced_netload_kw,effective_scenarios
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 20:00:00,0,32,high_netload_tail,0.404,3393.751708984375,238.436279296875,914.2223144531272,194.931884765625,3393.751708984375,3393.751708984375,3.492790879624455
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 20:00:00,1,243,low_pv_shortfall_tail,0.09,3364.3212890625,604.6532382965088,1579.2098144531283,439.084716796875,3393.751708984375,3393.751708984375,3.492790879624455
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 20:00:00,2,90,dct_risk_tail,0.126,3393.751708984375,557.5695190429688,1739.248242187503,522.27099609375,3393.751708984375,3393.751708984375,3.492790879624455
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 20:00:00,3,402,typical,0.306,3292.80126953125,76.97908210754395,596.3603027343779,60.80126953125,3393.751708984375,3393.751708984375,3.492790879624455
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 20:00:00,4,258,typical,0.074,3389.633056640625,227.84513664245605,957.3950195312518,331.78369140625,3393.751708984375,3393.751708984375,3.492790879624455
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 21:00:00,0,200,high_netload_tail,0.062,3399.177734375,506.5807189941406,1348.6621582031275,400.402587890625,3399.177734375,3399.177734375,1.8094438493384672
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 21:00:00,1,139,low_pv_shortfall_tail,0.102,3399.177734375,787.9727764129639,1741.0131835937536,632.05322265625,3399.177734375,3399.177734375,1.8094438493384672
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 21:00:00,2,276,dct_risk_tail,0.09,3399.177734375,555.1122999191284,1766.914501953128,538.00830078125,3399.177734375,3399.177734375,1.8094438493384672
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 21:00:00,3,367,typical,0.728,3294.234130859375,207.76589584350586,1035.304638671878,108.119873046875,3399.177734375,3399.177734375,1.8094438493384672
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 21:00:00,4,78,typical,0.018,3393.82421875,334.6019124984741,1059.1314941406272,290.51904296875,3399.177734375,3399.177734375,1.8094438493384672
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 22:00:00,0,492,high_netload_tail,0.78,3399.177734375,420.0968770980835,1242.3564941406275,292.138671875,3399.177734375,3399.177734375,1.5951405637864806
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 22:00:00,1,301,low_pv_shortfall_tail,0.006,3395.354248046875,846.5468244552612,1934.1163085937533,669.205810546875,3399.177734375,3399.177734375,1.5951405637864806
