label,n,rmse_ghi,mae_ghi,mbe_ghi,r2_ghi
W1_XGB_D24|High_Ramp_Hours,10173,142.54393616404502,97.34765371418834,-5.607937883708749,0.7943825364114829
W1_XGB_D24|Cloudy_CSI_lt03,67852,134.4069707868802,89.81028382139188,0.1220392605019499,0.7602350128750152
W1_XGB_D24|Clear_CSI_gt07,19081,138.6263651338345,92.85276660425063,-3.8492908836017055,0.8020590681757814
W1_XGB_D24|TOU_Peak_1621,18912,85.42980602465497,55.91067540905005,-5.5040505323307976,0.6526896241263913
W2_XGB_Pool|Daytime_All,101688,138.43897047856817,93.86737019021135,-1.8417801131350993,0.7681898641420344
W2_XGB_Pool|Top10pct_GHI,10248,203.37869446481835,170.21912885175493,-168.0943250614679,-7.617829028386982
W2_XGB_Pool|Top5pct_GHI,5184,220.9850081079904,190.0540266350238,-189.44131437822108,-25.16154617875067
W2_XGB_Pool|Summer_Daytime,46464,153.84660047949947,107.17323431751934,-7.637676851441451,0.7498533760119799
W2_XGB_Pool|High_Ramp_Hours,10173,144.97736795733343,100.4121156547803,-9.650248598051865,0.7873022355754807
W2_XGB_Pool|Cloudy_CSI_lt03,67852,136.58954174368705,91.67621177747577,1.1600594670215076,0.7523849298383045
W2_XGB_Pool|Clear_CSI_gt07,19081,141.5493330192263,96.51663268983546,-9.11601713115184,0.7936238087241724
W2_XGB_Pool|TOU_Peak_1621,18912,85.87560025995175,56.95071410499797,-5.991423744733469,0.6490554608547683
W3_CB_D24|Daytime_All,101688,137.050825958604,93.16643466297836,0.07432188547485306,0.7728153344844227
W3_CB_D24|Top10pct_GHI,10248,196.6519672562442,163.596211049789,-162.08555494262714,-7.057189054487125
W3_CB_D24|Top5pct_GHI,5184,211.92874242406532,180.79085349183103,-180.4894517901971,-23.06121238614943
W3_CB_D24|Summer_Daytime,46464,153.9326469565313,107.42290980870068,-2.0040349043756,0.7495734835096286
W3_CB_D24|High_Ramp_Hours,10173,142.84256568764138,98.53816674953515,-3.9598619062589773,0.7935200968443904
W3_CB_D24|Cloudy_CSI_lt03,67852,135.56349623030138,91.5677030378618,1.2491421475380824,0.7560910712747666
W3_CB_D24|Clear_CSI_gt07,19081,138.98773539711786,93.97632146695351,-1.857533162325404,0.8010257409512904
W3_CB_D24|TOU_Peak_1621,18912,85.6471964009342,57.005990020661336,-3.8320085021982355,0.6509197969328244
W4_CB_Pool|Daytime_All,101688,139.60450466734505,95.6334428035167,-0.7312731487292545,0.7642701587639266
W4_CB_Pool|Top10pct_GHI,10248,202.1377646946663,170.12671552841408,-168.29079337273205,-7.512985252597469
W4_CB_Pool|Top5pct_GHI,5184,218.96450175574537,189.50967379932527,-188.9515549485032,-24.68533362180601
W4_CB_Pool|Summer_Daytime,46464,156.23826435408392,109.77713296041551,-3.2398287975484497,0.7420154790431681
W4_CB_Pool|High_Ramp_Hours,10173,145.7181465815258,101.81252623960712,-7.2016188694317025,0.7851230747858474
W4_CB_Pool|Cloudy_CSI_lt03,67852,137.74945967152635,93.59937759416565,1.9808962608456733,0.7481615806420074
W4_CB_Pool|Clear_CSI_gt07,19081,142.5607947543291,98.41886814496621,-7.642556196116295,0.7906638877816333
W4_CB_Pool|TOU_Peak_1621,18912,87.53543705780204,59.034868375521256,-4.3228338356792335,0.6353579692761587
W5_XGB_LG_Reg|Daytime_All,101688,136.58334818285343,91.92703057334134,-1.4022631357359276,0.7743625364342399
W5_XGB_LG_Reg|Top10pct_GHI,10248,197.93499507343725,163.61031937336261,-161.33516686256579,-7.16266799704321
W5_XGB_LG_Reg|Top5pct_GHI,5184,214.37166635205728,181.95749190617394,-181.105347822598,-23.619121526941694
W5_XGB_LG_Reg|Summer_Daytime,46464,152.0455827776995,105.48300717478627,-5.9742217532341835,0.7556758183771841
W5_XGB_LG_Reg|High_Ramp_Hours,10173,143.334424217617,98.47503253880598,-7.671558850706968,0.7920956789458454
W5_XGB_LG_Reg|Cloudy_CSI_lt03,67852,134.8605444644431,89.95188023082615,0.5163938265243211,0.7586140465870943
W5_XGB_LG_Reg|Clear_CSI_gt07,19081,139.4931791376464,93.93722853844567,-6.176986637332835,0.7995759272568583
W5_XGB_LG_Reg|TOU_Peak_1621,18912,85.28474807981642,55.847731789226046,-5.80270581804161,0.6538680736513998
W6_CB_LG_Reg|Daytime_All,101688,136.89672595755778,93.02578848884619,-0.2513877128786172,0.7733259403095835
W6_CB_LG_Reg|Top10pct_GHI,10248,197.02051654789508,164.1340596620008,-162.1344294740324,-7.087417624608124
W6_CB_LG_Reg|Top5pct_GHI,5184,212.40579313381954,181.42146988594638,-180.71485837896915,-23.169657680079784
W6_CB_LG_Reg|Summer_Daytime,46464,153.54692058844205,107.23688778102144,-2.672397960144828,0.7508269549039082
W6_CB_LG_Reg|High_Ramp_Hours,10173,143.0407363911565,99.28350733147592,-5.960780461520371,0.792946785224344
W6_CB_LG_Reg|Cloudy_CSI_lt03,67852,135.32297666229653,91.23784917591802,1.4340537673000604,0.7569558000488751
W6_CB_LG_Reg|Clear_CSI_gt07,19081,139.14086977614298,94.6786848619427,-4.90498023794936,0.80058704634167
W6_CB_LG_Reg|TOU_Peak_1621,18912,85.9429634805929,57.33781408802905,-4.12837547204617,0.6485046635017165
