issue_time,raw_scenario_count,R1_representation_error,R3_representation_error,R1_minus_R3,better_method
2025-05-14 03:00:00,500,3.1958319514369897,3.593073931087193,-0.39724197965020336,R1
2025-05-14 04:00:00,500,3.122322853667429,3.5440056054052347,-0.4216827517378059,R1
2025-05-14 05:00:00,500,3.192886055202133,3.4533782342211627,-0.26049217901902955,R1
2025-05-14 06:00:00,500,3.1483144525772637,3.571989507904344,-0.4236750553270805,R1
2025-05-14 07:00:00,500,3.187343367782997,3.90952339026612,-0.7221800224831227,R1
2025-05-14 08:00:00,500,3.177124591785706,3.477712843053275,-0.3005882512675693,R1
2025-05-14 09:00:00,500,3.2062848641830324,3.582533014384716,-0.37624815020168345,R1
2025-05-14 10:00:00,500,3.1601570959742875,3.5285271920487538,-0.36837009607446625,R1
2025-05-14 11:00:00,500,3.081329733177149,3.416610160346186,-0.33528042716903705,R1
2025-05-14 12:00:00,500,3.13283716339302,3.508707652930837,-0.3758704895378173,R1
2025-05-14 13:00:00,500,3.135413330705366,3.71456782998202,-0.5791544992766542,R1
2025-05-14 14:00:00,500,3.169398698338816,3.5840872853715977,-0.4146885870327819,R1
2025-05-14 15:00:00,500,3.198431985477264,3.4699194369069977,-0.27148745142973363,R1
2025-05-14 16:00:00,500,3.24300465006577,3.505588934568048,-0.2625842845022781,R1
2025-05-14 17:00:00,500,3.2505349966955506,3.603997596309007,-0.3534625996134566,R1
2025-05-14 18:00:00,500,3.202497930490676,3.632308648123937,-0.4298107176332606,R1
2025-05-14 19:00:00,500,3.027224385094287,3.4602049769872365,-0.43298059189294946,R1
2025-05-14 20:00:00,500,3.089532401641661,3.431870006014502,-0.3423376043728412,R1
2025-05-14 21:00:00,500,3.056167534285476,3.549275760866036,-0.49310822658055997,R1
2025-05-14 22:00:00,500,3.0842425805118823,3.400917874554366,-0.31667529404248373,R1
2025-05-14 23:00:00,500,3.098107547442558,3.3414212145022937,-0.24331366705973556,R1
2025-05-15 00:00:00,500,3.1264855748282607,3.528808457025116,-0.4023228821968554,R1
2025-05-15 01:00:00,500,3.15606633031789,3.3156059666760997,-0.15953963635820978,R1
2025-05-15 02:00:00,500,3.076188410919153,4.334634582608473,-1.2584461716893198,R1
2025-05-15 03:00:00,500,3.0300197054795435,3.298619751204792,-0.26860004572524865,R1
2025-05-15 04:00:00,500,3.166699418471141,3.442246180246351,-0.2755467617752103,R1
2025-05-15 05:00:00,500,3.21997837383345,3.543548485926417,-0.3235701120929666,R1
2025-05-15 06:00:00,500,3.1679103743787573,3.526887625166712,-0.3589772507879547,R1
2025-05-15 07:00:00,500,3.2175130158467646,3.4510204143739056,-0.23350739852714097,R1
2025-05-15 08:00:00,500,3.2432028291993182,3.661695724980537,-0.4184928957812186,R1
2025-05-15 09:00:00,500,3.1551252146651705,3.3464441474646054,-0.1913189327994349,R1
2025-05-15 10:00:00,500,3.242818221537333,3.530787431434235,-0.287969209896902,R1
2025-05-15 11:00:00,500,3.1874865398140533,3.696373577450031,-0.5088870376359775,R1
2025-05-15 12:00:00,500,3.157368660271552,3.653346219532659,-0.4959775592611071,R1
2025-05-15 13:00:00,500,3.0968147559576886,3.711318852963121,-0.6145040970054323,R1
2025-05-15 14:00:00,500,3.1497954951848506,3.569568867138775,-0.4197733719539243,R1
2025-05-15 15:00:00,500,3.304994031109096,3.700480876054192,-0.3954868449450961,R1
2025-05-15 16:00:00,500,3.205922053445752,3.522098875962452,-0.3161768225167001,R1
2025-05-15 17:00:00,500,3.202345789305403,4.023903121210124,-0.8215573319047214,R1
2025-05-15 18:00:00,500,3.0744169748708656,3.3971730729521488,-0.32275609808128314,R1
2025-05-15 19:00:00,500,3.2009408782203725,3.420849438931769,-0.21990856071139664,R1
2025-05-15 20:00:00,500,3.1750618815984355,3.603701368520084,-0.4286394869216483,R1
2025-05-15 21:00:00,500,3.060598379750464,3.510355232769667,-0.4497568530192031,R1
2025-05-15 22:00:00,500,3.120839988516796,3.52878527367872,-0.4079452851619241,R1
2025-05-15 23:00:00,500,3.198674411093242,3.5148827061375094,-0.3162082950442673,R1
2025-05-16 00:00:00,500,3.188813351230307,3.456488764841665,-0.2676754136113577,R1
2025-05-16 01:00:00,500,3.105809835865129,3.525000351796495,-0.419190515931366,R1
2025-05-16 02:00:00,500,3.3280269515300214,3.5025379095523084,-0.174510958022287,R1
2025-05-16 03:00:00,500,3.1323247639794647,3.6466733639266775,-0.5143485999472128,R1
2025-05-16 04:00:00,500,3.114822307949449,3.4809601479287657,-0.3661378399793169,R1
2025-05-16 05:00:00,500,3.151905442472245,3.493221529976936,-0.341316087504691,R1
2025-05-16 06:00:00,500,3.273726106076319,3.575385226549051,-0.3016591204727317,R1
2025-05-16 07:00:00,500,3.251773957599932,3.510882306954546,-0.259108349354614,R1
